State,Year,AverageTemperatureFahrenheit
Alabama,2010,63.1
Alabama,2011,63.8
Alabama,2012,64.9
Alabama,2013,62.8
Alabama,2014,62.4
Alabama,2015,64.5
Alabama,2016,65.2
Alabama,2017,65.1
Alabama,2018,64.6
Alabama,2019,65.5
Alabama,2020,64.8
Alabama,2021,64.7
Alabama,2022,64.1
Alabama,2023,65.8
Alabama,2024,65.3
Alaska,2010,26.0
Alaska,2011,26.2
Alaska,2012,26.1
Alaska,2013,27.3
Alaska,2014,30.4
Alaska,2015,30.7
Alaska,2016,32.5
Alaska,2017,30.3
Alaska,2018,30.7
Alaska,2019,32.2
Alaska,2020,28.9
Alaska,2021,28.4
Alaska,2022,28.8
Alaska,2023,30.1
Alaska,2024,29.5
Arizona,2010,60.9
Arizona,2011,61.5
Arizona,2012,62.8
Arizona,2013,60.9
Arizona,2014,62.6
Arizona,2015,63.1
Arizona,2016,63.6
Arizona,2017,64.0
Arizona,2018,63.5
Arizona,2019,62.5
Arizona,2020,63.8
Arizona,2021,63.7
Arizona,2022,62.5
Arizona,2023,64.2
Arizona,2024,63.9
Arkansas,2010,60.8
Arkansas,2011,61.9
Arkansas,2012,63.4
Arkansas,2013,60.3
Arkansas,2014,59.9
Arkansas,2015,62.1
Arkansas,2016,62.7
Arkansas,2017,62.6
Arkansas,2018,61.7
Arkansas,2019,62.3
Arkansas,2020,61.9
Arkansas,2021,61.8
Arkansas,2022,61.0
Arkansas,2023,63.0
Arkansas,2024,62.4
California,2010,59.0
California,2011,59.1
California,2012,60.5
California,2013,60.4
California,2014,62.4
California,2015,62.2
California,2016,61.9
California,2017,61.9
California,2018,61.5
California,2019,60.4
California,2020,61.8
California,2021,62.1
California,2022,60.6
California,2023,61.2
California,2024,61.5
Colorado,2010,45.1
Colorado,2011,46.2
Colorado,2012,48.3
Colorado,2013,45.2
Colorado,2014,46.5
Colorado,2015,47.4
Colorado,2016,47.8
Colorado,2017,48.2
Colorado,2018,47.3
Colorado,2019,46.0
Colorado,2020,47.7
Colorado,2021,47.8
Colorado,2022,46.2
Colorado,2023,47.1
Colorado,2024,47.5
Connecticut,2010,50.8
Connecticut,2011,50.7
Connecticut,2012,52.2
Connecticut,2013,49.2
Connecticut,2014,48.2
Connecticut,2015,50.5
Connecticut,2016,51.0
Connecticut,2017,49.9
Connecticut,2018,50.3
Connecticut,2019,49.5
Connecticut,2020,51.2
Connecticut,2021,50.9
Connecticut,2022,49.8
Connecticut,2023,52.1
Connecticut,2024,51.4
Delaware,2010,56.6
Delaware,2011,56.9
Delaware,2012,58.0
Delaware,2013,55.5
Delaware,2014,54.7
Delaware,2015,56.9
Delaware,2016,57.1
Delaware,2017,56.8
Delaware,2018,56.2
Delaware,2019,56.5
Delaware,2020,57.4
Delaware,2021,56.8
Delaware,2022,56.0
Delaware,2023,57.9
Delaware,2024,57.2
Florida,2010,70.9
Florida,2011,71.5
Florida,2012,71.9
Florida,2013,71.4
Florida,2014,71.2
Florida,2015,73.0
Florida,2016,72.6
Florida,2017,73.1
Florida,2018,72.7
Florida,2019,73.2
Florida,2020,73.1
Florida,2021,72.5
Florida,2022,72.8
Florida,2023,73.8
Florida,2024,73.5
Georgia,2010,63.0
Georgia,2011,63.9
Georgia,2012,65.1
Georgia,2013,62.8
Georgia,2014,62.3
Georgia,2015,64.8
Georgia,2016,65.5
Georgia,2017,65.4
Georgia,2018,64.7
Georgia,2019,65.6
Georgia,2020,64.9
Georgia,2021,64.6
Georgia,2022,64.0
Georgia,2023,65.9
Georgia,2024,65.4
Hawaii,2010,70.0
Hawaii,2011,70.1
Hawaii,2012,70.5
Hawaii,2013,70.8
Hawaii,2014,71.2
Hawaii,2015,71.8
Hawaii,2016,72.0
Hawaii,2017,71.9
Hawaii,2018,71.7
Hawaii,2019,72.5
Hawaii,2020,71.6
Hawaii,2021,71.3
Hawaii,2022,71.1
Hawaii,2023,72.2
Hawaii,2024,71.8
Idaho,2010,43.8
Idaho,2011,43.6
Idaho,2012,45.9
Idaho,2013,44.5
Idaho,2014,45.6
Idaho,2015,46.8
Idaho,2016,46.1
Idaho,2017,45.5
Idaho,2018,45.8
Idaho,2019,44.7
Idaho,2020,45.9
Idaho,2021,46.5
Idaho,2022,44.8
Idaho,2023,45.7
Idaho,2024,46.0
Illinois,2010,51.0
Illinois,2011,50.7
Illinois,2012,54.4
Illinois,2013,48.7
Illinois,2014,47.4
Illinois,2015,51.2
Illinois,2016,52.4
Illinois,2017,52.1
Illinois,2018,50.2
Illinois,2019,49.4
Illinois,2020,51.5
Illinois,2021,52.2
Illinois,2022,50.0
Illinois,2023,52.3
Illinois,2024,51.8
Indiana,2010,51.3
Indiana,2011,51.0
Indiana,2012,54.3
Indiana,2013,49.1
Indiana,2014,47.9
Indiana,2015,51.7
Indiana,2016,52.6
Indiana,2017,52.2
Indiana,2018,50.6
Indiana,2019,49.8
Indiana,2020,51.9
Indiana,2021,52.3
Indiana,2022,50.4
Indiana,2023,52.5
Indiana,2024,52.0
Iowa,2010,47.9
Iowa,2011,47.0
Iowa,2012,51.5
Iowa,2013,44.9
Iowa,2014,44.2
Iowa,2015,48.1
Iowa,2016,49.8
Iowa,2017,48.5
Iowa,2018,46.8
Iowa,2019,45.4
Iowa,2020,48.4
Iowa,2021,49.1
Iowa,2022,46.7
Iowa,2023,48.9
Iowa,2024,48.2
Kansas,2010,54.3
Kansas,2011,55.7
Kansas,2012,58.0
Kansas,2013,52.8
Kansas,2014,52.7
Kansas,2015,55.0
Kansas,2016,56.3
Kansas,2017,55.8
Kansas,2018,54.3
Kansas,2019,53.2
Kansas,2020,55.1
Kansas,2021,55.6
Kansas,2022,53.8
Kansas,2023,55.7
Kansas,2024,55.0
Kentucky,2010,55.9
Kentucky,2011,56.2
Kentucky,2012,58.5
Kentucky,2013,54.7
Kentucky,2014,53.8
Kentucky,2015,56.6
Kentucky,2016,57.5
Kentucky,2017,57.2
Kentucky,2018,55.9
Kentucky,2019,56.3
Kentucky,2020,56.8
Kentucky,2021,56.7
Kentucky,2022,55.5
Kentucky,2023,57.6
Kentucky,2024,57.0
Louisiana,2010,66.6
Louisiana,2011,67.4
Louisiana,2012,68.4
Louisiana,2013,66.0
Louisiana,2014,65.8
Louisiana,2015,67.9
Louisiana,2016,68.6
Louisiana,2017,68.3
Louisiana,2018,67.6
Louisiana,2019,68.5
Louisiana,2020,68.0
Louisiana,2021,67.7
Louisiana,2022,67.2
Louisiana,2023,69.2
Louisiana,2024,68.7
Maine,2010,43.1
Maine,2011,42.9
Maine,2012,44.5
Maine,2013,41.4
Maine,2014,40.1
Maine,2015,42.7
Maine,2016,43.6
Maine,2017,42.2
Maine,2018,43.0
Maine,2019,41.9
Maine,2020,43.9
Maine,2021,43.8
Maine,2022,42.6
Maine,2023,45.0
Maine,2024,44.2
Maryland,2010,55.8
Maryland,2011,56.1
